"airport","description","frequency","type"
"CYBW","GND","121.8","GND"
"CYBW","MF CALGARY  RDO","118.2","A/G"
"CYBW","TOWER INNER","120.7","TWR"
"CYBW","TWR","118.2","TWR"
"CYBX","MF","122","RDO"
"CYBX","QUEBEC RDO","122","RCO"
"CYCB","ARPT RDO","122.1","RDO"
"CYCB","ARTIC RDO","126.7","ACC"
"CYCB","ARTIC RDO","126.7","ARTC"
"CYCB","MANDATORY FREQ","122.1","ATF"
"CYCB","OPS","22.89","OPS"
"CYCC","ATF/UNICOM","122.775","UNIC"
"CYCC","BOSTON CNTR","135.25","A/D"
"CYCD","ATF","122.1","ATF"
"CYCD","NANAIMO ATIS","128.425","ATIS"
"CYCD","PACIFIC RDO","126.7","RCO"
"CYCD","RDO","122.1","FSS"
"CYCD","VICTORIA TRML","133.95","APP"
"CYCE","ATF/UNICOM","122.8","UNIC"
"CYCG","ATF","122.1","ATF"
"CYCG","KAMLOOPS RDO","126.7","RCO"
"CYCG","RDO","122.1","RDO"
"CYCG","VANCOUVER CNTR","134.2","CNTR"
"CYCH","ATF/UNICOM","122.7","UNIC"
"CYCH","MONCTON CNTR","123.7","CNTR"
"CYCK","ATF/UNICOM","123.2","UNIC"
"CYCK","CLEVELAND CNTR","132.25","CNTR"
"CYCL","ATF","122.2","ATF"
"CYCL","MF","122.2","A/G"
"CYCL","MONCTON CNTR","134.25","CNTR"
"CYCL","QUEBEC RDO","126.7","RCO"
"CYCN","ATF","122.8","ATF"
"CYCO","ARPT RDO","122.1","RDO"
"CYCO","MANDATORY FREQ","122.1","ATF"
"CYCP","ATF","123.2","ATF"
"CYCQ","ATF","123.2","ATF"
"CYCQ","EDMONTON RDO","126.7","RCO"
"CYCT","ATF","122.8","ATF"
"CYCW","ATF/UNICOM","122.7","UNIC"
"CYCY","ARPT RDO","122.1","RDO"
"CYCY","AWOS","124.6","AWOS"
"CYCY","MANDATORY FREQ","122.1","ATF"
"CYCZ","ATF","123.2","ATF"
"CYCZ","PACIFIC RDO","126.7","RCO"
"CYDA","ARPT RDO","122.1","RDO"
"CYDA","MANDATORY FREQ","122.1","ATF"
"CYDA","WHITEHORSE RDO","126.7","RCO"
"CYDB","ARPT RDO","122.1","RDO"
"CYDB","AWOS","128.7","AWOS"
"CYDB","MANDTORY FREQUENCY","122.1","ATF"
"CYDB","WHITEHORSE RDO","126.7","RCO"
"CYDC","ATF","123.2","ATF"
"CYDC","PACIFIC RDO","125.85","RCO"
"CYDC","VANCOUVER","135","CNTR"
"CYDF","GANDER CNTR","134.6","CNTR"
"CYDF","HALIFAX RDO","126.7","RCO"
"CYDF","MF","122.2","RDO"
"CYDF","RDO","122.2","FSS"
"CYDL","ATF","123.2","ATF"
"CYDL","EDMONTON CNTR","134.05","CNTR"
"CYDL","WHITEHORSE RDO","126.7","RCO"
"CYDN","AWOS","128.6","AWOS"
"CYDN","MF WINNIPEG RDO","122.3","A/G"
"CYDN","WINNIPEG RDO","122.3","RCO"
"CYDO","ATF/UNICOM","122.7","UNIC"
"CYDO","ROBERVAL RDO","126.7","A/D"
"CYDQ","MF PEACE RIVER RDO","122.2","A/G"
"CYDQ","RCO","122.2","RDO"
"CYEE","ATF/UNICOM","122.85","UNIC"
"CYEE","TORONTO CNTR","124.025","CNTR"
"CYEG","APP","118.3","APP"
"CYEG","ARR","120.5","ARR"
"CYEG","ATIS","128","ATIS"
"CYEG","CLNC DEL","124.1","CLD"
"CYEG","DEP","133.65","DEP"
"CYEG","EXEC FLT CTR","122.95","INFO"
"CYEG","FLT TECH AVN INC","123","INFO"
"CYEG","GND","121.7","GND"
"CYEG","RDO","122.5","FSS"
"CYEG","TWR VFR ADVSY SVC","118.3","AAS"
"CYEG","TWR","118.3","TWR"
"CYEK","ARPT RDO","122.1","RDO"
"CYEK","AWOS","128.7","AWOS"
"CYEL","ATF/UNICOM","123","UNIC"
"CYEL","TORONTO CNTR","135.4","CNTR"
"CYEM","ATF/UNICOM","122.8","UNIC"
"CYEM","TORONTO CNTR","135.4","CNTR"
"CYEN","ATF","123","ATF"
"CYES","ATF/UNICOM","122.8","UNIC"
"CYET","ATF","123.2","ATF"
"CYEU","ATF/UNICOM","122.8","UNIC"
"CYEV","ARTIC RADIO (FISE)","123.375","RCO"
"CYEV","EDMONTON CONTROL","132.4","PAL"
"CYEV","INUVIK RADIO, 5NM BELOW 3200","122.3","MF"
"CYEV","LIGHTED HRS","128.5","ATIS"
"CYEY","ATF/UNICOM","122.8","UNIC"
"CYEY","MONTREAL CNTR","125.9","CNTR"
"CYEY","QUEBEC RDO","126.7","RDO"
"CYFB","ARTIC RADIO, (FISW)","123.275","RCO"
"CYFB","GANDER RADIO","126.9","INTL AIR"
"CYFB","IQALLUIT RADIO, 5NM BELOW 3100ASL","122.2","MF"
"CYFB","MONTREAL CONTROL","134.55","PAL"
"CYFB","RDO","122.2","FSS"
"CYFC","MF","119","A/G"
"CYFC","MONCTON CNTR","124.3","CNTR"
"CYFC","RDO","119","RDO"
"CYFD","ATF/UNICOM","122.825","UNIC"
"CYFD","TORONTO TRML","128.27","A/D"
"CYFE","ATF","123.2","ATF"
"CYFJ","ATF/UNICOM","122.7","ATF"
"CYFJ","MONTREAL CENTER","133.9","PAL"
"CYFO","WINNIPEG RDO MF","122","A/G"
"CYFO","WINNIPEG RDO","122","RCO"
"CYFR","ARPT RDO","122.1","RDO"
"CYFR","MANDATORY FREQ","122.1","ATF"
"CYFS","EDMONTON CNTR","135.4","CNTR"
"CYFS","FT SIMPSON RDO","122.2","MF"
"CYFS","YELLOWKNIFE RDO","126.7","RCO"
"CYGB","ATF","122.7","ATF"
"CYGD","ATF/UNICOM","122.7","UNIC"
"CYGD","TORONTO CNTR","135.3","CNTR"
"CYGE","ATF/UNICOM","122.8","UNIC"
"CYGE","PACIFIC RDO","126.7","RCO"
"CYGH","AIRPORT RDO","122.1","RDO"
"CYGH","MANDATORY FREQ","122.1","ATF"
"CYGH","NORMAN WELLS RDO","126.7","FSS"
"CYGK","KINGSTON RADIO, 0615-2300 LOCAL","122.5","MF"
"CYGK","KINGSTON RADIO","122.5","RADIO"
"CYGK","KINGSTON RADIO","122.5","VDF"
"CYGK","KINGSTON TRAFFIC","122.5","ATF"
"CYGK","LONDON RADIO","123.55","RCO"
"CYGL","MF","122.3","A/G"
"CYGL","MONTREAL CNTR","132.1","CNTR"
"CYGL","QUEBEC RDO","126.7","RCO"
"CYGL","RDO","122.3","RDO"
"CYGM","MF","122.15","A/G"
"CYGM","UNICOM","122.15","UNIC"
"CYGP","MF QUEBEC RDO","122.3","RDO"
"CYGP","QUEBEC RDO","122.3","RCO"
"CYGQ","ATF/UNICOM","122.8","UNIC"
"CYGQ","LONDON RDO","126.7","RCO"
"CYGR","MADELEINE RDO","123.15","FSS"
"CYGR","MF","123.15","RDO"
"CYGR","MONCTON CNTR","134.35","CNTR"
"CYGR","QUEBEC RDO","126.7","RCO"
"CYGV","AWOS","125.95","AWOS"
"CYGV","MF","122","RDO"
"CYGV","QUEBEC RDO","122","RCO"
"CYHB","ATF","122.8","ATF"
"CYHD","MF","122.1","RDO"
"CYHD","MIN NATL RESOURCES","122.9","A/G"
"CYHD","WINNIPEG CNTR","132.2","CNTR"
"CYHD","WINNIPEG RDO","122.1","RCO"
"CYHF","ATF/UNICOM","122.8","UNIC"
"CYHI","ARPT RDO","122.1","RDO"
"CYHI","MANDATORY FREQ","122.1","ATF"
"CYHK","ARPT RDO","122.1","RDO"
"CYHK","MANDATORY FREQ","122.1","ATF"
"CYHM","ATIS","128.1","ATIS"
"CYHM","GND","121.6","GND"
"CYHM","TORONTO TRML","119.7","A/D"
"CYHM","TWR","125","TWR"
"CYHN","ATF/UNICOM","122.8","UNIC"
"CYHR","ATF","123.5","ATF"
"CYHR","AWOS","122.55","AWOS"
"CYHS","ATF/UNICOM","122.8","UNIC"
"CYHU","ATIS","124.9","ATIS"
"CYHU","GND","126.4","GND"
"CYHU","MF","118.4","A/G"
"CYHU","MONTREAL CNTR","125.15","CNTR"
"CYHU","QUEBEC RDO","118.4","RDO"
"CYHU","TWR","118.4","TWR"
"CYHU","VFR ADVSY","134.15","INFO"
"CYHY","EDMONTON CNTR","133.85","CNTR"
"CYHY","MANDATORY FREQ","122.3","UNIC"
"CYHY","YELLOWKNIFE RDO","126.7","A/D"
"CYHZ","APN ADVSY","122.125","RMP"
"CYHZ","ATIS","121","ATIS"
"CYHZ","CLNC DEL","123.95","CLD"
"CYHZ","GND","121.9","GND"
"CYHZ","MONCTON CNTR","118.7","CNTR"
"CYHZ","RDO","123.275","RDO"
"CYHZ","TRML","118.7","A/D"
"CYHZ","TWR","118.4","TWR"
"CYIB","ATF","122.3","ATF"
"CYIB","MF","122.3","A/G"
"CYIB","WINNIPEG RDO","123.275","RCO"
"CYID","ATF/UNICOM","122.8","UNIC"
"CYIF","ATF/UNICOM","123.5","UNIC"
"CYIF","QUEBEC RDO","126.7","RCO"
"CYIK","ARPT RDO","122.1","A/G"
"CYIK","MF/CTAF","122.1","ATF"
"CYIO","AWOS","128.3","AWOS"
"CYIO","RDO","122.1","RDO"
"CYJM","ATF","123.2","ATF"
"CYJN","ATF","118.2","ATF"
"CYJN","GND","121.7","GND"
"CYJN","MONTREAL APP DEP","125.15","A/D"
"CYJN","TWR","118.2","TWR"
"CYJN","VFR ADVSY","134.15","A/G"
"CYJT","GANDER CNTR","132.3","CNTR"
"CYJT","HALIFAX RDO","126.7","RCO"
"CYJT","MF","122.1","RDO"
"CYKA","KAMLOOPS RADIO, 5NM BELOW 4100ASL","125.7","MF"
"CYKA","LIGHT HRS","121.9","CLNC DEL"
"CYKA","PACIFIC RADIO (FISE)","123.375","RCO"
"CYKA","SHELL AEROCENTER","123","PVT ADV"
"CYKA","VANCOUVER CONTROL","132.35","PAL"
"CYKD","ARPT RDO","122.1","RDO"
"CYKD","ATF","122.1","ATF"
"CYKF","ATIS","125.1","ATIS"
"CYKF","TORONTO CONTROL","128.275","PAL"
"CYKF","TORONTO TERMINAL","128.275","ARR"
"CYKF","TORONTO TERMINAL","128.275","DEP"
"CYKF","WATERLOO GROUND","121.8","GND"
"CYKF","WATERLOO TOWER, PRIMARY","126","TWR"
"CYKF","WATERLOO TOWER, SECONDARY","118.55","TWR"
"CYKF","WATERLOO TRAFFIC, 5NM BELOW 4000 ASL, 04Z TO 12Z","126","MF"
"CYKL","AWOS","124.6","AWOS"
"CYKL","MF","122.2","A/G"
"CYKL","MONTREAL CNTR","132.9","CNTR"
"CYKL","QUEBEC RDO","126.7","FSS"
"CYKL","QUEBEC RDO","126.7","RCO"
"CYKM","ATF/UNICOM","122.8","UNIC"
"CYKO","ARPT RDO","122.1","INFO"
"CYKO","MF/CTAF","122.1","ATF"
"CYKO","QUEBEC RDO","126.7","RDO"
"CYKX","ATF","122.8","ATF"
"CYKY","ATF","122.8","ATF"
"CYKZ","ATIS","127.1","ATIS"
"CYKZ","BUTTONVILLE GROUND","121.8","GND"
"CYKZ","BUTTONVILLE TOWER. (BACKUP: 119.9)","124.8","TWR"
"CYKZ","BUTTONVILLE TRAFFIC: WHEN TOWER CLOSED","124.8","MF"
"CYKZ","LONDON RADIO","123.15","RCO"
"CYKZ","TORONTO TERMINAL ARRIVALS","133.4","ARR"
"CYKZ","TORONTO TERMINAL DEPARTURES","133.4","DEP"
"CYLB","ATF","123.2","ATF"
"CYLB","EDMONTON CNTR","134.7","CNTR"
"CYLB","EDMONTON RDO","126.7","RCO"
"CYLD","ATF/UNICOM","122.8","UNIC"
"CYLI","ATF","123.2","ATF"
"CYLJ","ATF","122.8","ATF"
"CYLJ","COLD LAKE TRML","124.5","A/D"
"CYLL","EDMONTON CNTR","133.45","CNTR"
"CYLL","EDMONTON RDO","126.7","RCO"
"CYLL","MF LLOYDMINSTER RDO","122.2","A/G"
"CYLL","RDO","122.2","RDO"
"CYLQ","ATF/UNICOM","122.8","UNIC"
"CYLQ","MONTREAL CNTR","134.5","CNTR"
"CYLR","ATF","123.2","ATF"
"CYLS","ATF/UNICOM","122.7","UNIC"
"CYLS","AWOS","122.55","AWOS"
"CYLS","TORONTO CNTR","124.025","CNTR"
"CYLT","OPS","568","OPS"
"CYLW","ATIS","127.5","ATIS"
"CYLW","EMR","122.675","EMR"
"CYLW","GND","121.7","GND"
"CYLW","PACIFIC RDO","126.7","A/G"
"CYLW","PENTICTON RDO","119.6","RCO"
"CYLW","TWR","119.6","TWR"
"CYMA","ARPT RDO","122.1","RDO"
"CYMA","EDMONTON CNTR","134.65","CNTR"
"CYMA","WHITEHORSE RDO","126.7","RCO"
"CYME","ATF/UNICOM","122.8","UNIC"
"CYME","MONTREAL CNTR","134.65","CNTR"
"CYMG","ATF/UNICOM","122.8","UNIC"
"CYMG","LONDON RDO","126.7","A/D"
"CYMJ","ARR","119","ARR"
"CYMJ","ARR","28.94","ARR"
"CYMJ","ARR","38.13","ARR"
"CYMJ","ATIS","25.78","ATIS"
"CYMJ","CLNC DEL","135.3","CLD"
"CYMJ","DEP","119","DEP"
"CYMJ","GND","121.8","GND"
"CYMJ","PMSV","34.46","PMSV"
"CYMJ","TWR","126.2","TWR"
"CYMJ","WING OPS","23.01","OPS"
"CYML","ATF/UNICOM","123","UNIC"
"CYML","MONTREAL CNTR","125.1","CNTR"
"CYMM","ATIS","128.5","ATIS"
"CYMM","EDMONTON CNTR","135.7","CNTR"
"CYMM","EDMONTON RDO","123.55","RCO"
"CYMM","FORT MCMURRAY GROUND","121.9","GND"
"CYMM","FORT MCMURRAY TOWER","118.1","TWR"
"CYMM","PEACE RIVER RADIO","118.1","MF"
"CYMO","ATF","122.5","ATF"
"CYMO","AWOS","124.8","AWOS"
"CYMO","MF","122.5","A/G"
"CYMO","TIMMINS RDO","122.5","RCO"
"CYMO","TORONTO CNTR","133.725","CNTR"
"CYMT","MONTREAL CNTR","127.3","CNTR"
"CYMT","QUEBEC RDO","122","RCO"
"CYMW","ATF/UNICOM","122.8","UNIC"
"CYMW","MONTREAL CNTR","126.57","CNTR"
"CYMX","APRON ADVSY","122.4","RMP"
"CYMX","ATIS (ENGLISH) 450-476-3031","125.7","ATIS"
"CYMX","ATIS (FRENCH) 450-476-3095","126.1","ATIS"
"CYMX","MIRABEL RADIO","119.1","MF"
"CYMX","MONTREAL ARRIVAL","124.65","ARR"
"CYMX","MONTREAL ARRIVAL","132.85","ARR"
"CYMX","MONTREAL ARRIVAL","268.3","ARR"
"CYMX","MONTREAL DEPARTURE","132.85","DEP"
"CYMX","VFR ADVSY","134.15","RDR"
"CYNA","AWOS","126.25","AWOS"
"CYNA","MF QUEBEC RDO","122.2","RDO"
"CYNA","QUEBEC RDO","122.2","RCO"
"CYND","GATINEAU RADIO, 0630-2115 LOCAL","122.3","MF"
"CYND","GATINEAU TRAFFIC","122.3","ATF"
"CYND","OTTAWA ARRIVALS","128.175","ARR"
"CYND","OTTAWA DEPARTURES","128.175","DEP"
"CYND","OTTAWA TERMINAL","127.7","TML"
"CYND","QUEBEC RADIO","123.375","RCO"
"CYNH","ATF","123.2","ATF"
"CYNJ","LANGLEY GROUND","121.9","GND"
"CYNJ","LANGLEY TOWER","119","TWR"
"CYNM","ATF/UNICOM","122.8","UNIC"
"CYNM","AWOS","127.45","AWOS"
"CYNM","QUEBEC RDO","123.55","RCO"
"CYOA","ARCTIC RADIO (FISE)","123.275","RCO"
"CYOA","EDMONTON CENTER","135.175","PAL"
"CYOC","ARPT RDO","122.1","RDO"
"CYOC","MANDATORY FREQ","122.1","ATF"
"CYOD","APP","124.5","APP"
"CYOD","ARR","124.5","ARR"
"CYOD","ATIS","26","ATIS"
"CYOD","CLNC DEL","120.6","CLD"
"CYOD","DEP","124.5","DEP"
"CYOD","GND","121.9","GND"
"CYOD","PMSV","34.46","PMSV"
"CYOD","TRAN SVCG","30.87","A/G"
"CYOD","TWR","126.2","TWR"
"CYOD","WING OPS","34.02","OPS"
"CYOJ","EDMONTON CNTR","123.7","CNTR"
"CYOJ","EDMONTON RDO","126.7","RCO"
"CYOJ","MF HIGH LEVEL RDO","123.25","A/G"
"CYOJ","RDO","123.25","FSS"
"CYOO","ATIS","125.675","ATIS"
"CYOO","GND","118.4","GND"
"CYOO","MF","120.1","A/G"
"CYOO","TORONTO TRML","133.4","APP"
"CYOO","TWR","120.1","TWR"
"CYOP","ATF/UNICOM","122.8","UNIC"
"CYOS","ATF/UNICOM","123","UNIC"
"CYOS","TORONTO CNTR","132.575","CNTR"
"CYOW","ENGLISH ATIS","121.15","ATIS"
"CYOW","FRENCH ATIS","132.95","ATIS"
"CYOW","OTTAWA ARRIVALS","135.15","ARR"
"CYOW","OTTAWA CLEARANCE","119.4","CLNC DEL"
"CYOW","OTTAWA DEPARTURES","128.175","DEP"
"CYOW","OTTAWA GROUND","121.9","GND"
"CYOW","OTTAWA TERMINAL","127.7","TML"
"CYOW","OTTAWA TOWER","118.8","TWR"
"CYOW","QUEBEC RADIO","123.15","RCO"
"CYPA","ATHABASKA AWYS","129.45","INFO"
"CYPA","PRINCE ALBERT RADIO, 5NM BELOW 4400ASL","122.3","MF"
"CYPA","PRINCE ALBERT RADIO","122.3","RADIO"
"CYPA","WINNIPAG CONTROL","133.9","ARR"
"CYPA","WINNIPEG CONTROL","133.9","DEP"
"CYPA","WINNIPEG RADIO","123.475","RCO"
"CYPC","ARPT RDO","122.1","RDO"
"CYPC","MANDATORY FREQ","122.1","ATF"
"CYPD","ATF/UNICOM","122.8","UNIC"
"CYPD","HALIFAX RDO","126.7","RDO"
"CYPE","EDMONTON CNTR","133.275","CNTR"
"CYPE","EDMONTON RDO","123.275","RCO"
"CYPE","MF","122.3","A/G"
"CYPE","RDO","122.3","FSS"
"CYPG","ATF","126.2","ATF"
"CYPG","ATIS","120.85","ATIS"
"CYPG","GND","121.7","GND"
"CYPG","TWR","126.2","TWR"
"CYPK","ATF","126.3","ATF"
"CYPK","ATIS","125","ATIS"
"CYPK","GND","123.8","GND"
"CYPK","TWR","126.3","TWR"
"CYPL","MF THUNDER BAY RDO","122.2","RDO"
"CYPL","WINNIPEG RDO","122.2","RCO"
"CYPN","ATF/UNICOM","123.5","UNIC"
"CYPQ","ATF/UNICOM","123","UNIC"
"CYPQ","AWOS","126.925","AWOS"
"CYPQ","TORONTO CNTR","134.25","CNTR"
"CYPR","PACIFIC RDO","126.7","RDO"
"CYPR","RUPERT RDO","122.5","A/G"
"CYPR","TERRACE RDO","122.5","RCO"
"CYPR","VANCOUVER CNTR","128","CNTR"
"CYPS","ATF","123.2","ATF"
"CYPT","ATF/UNICOM","123.2","UNIC"
"CYPT","CLEVELAND CNTR","126.35","CNTR"
"CYPU","PACIFIC RDO","126.7","RCO"
"CYPU","VANCOUVER CNTR","135.05","CNTR"
"CYPU","WILLIAMS LAKE RDO","126.7","ATF"
"CYPW","COMOX TERMINAL","123.7","A/D"
"CYPW","MF","123","A/G"
"CYPW","PACIFIC RDO","126.7","RDO"
"CYPX","AFLD RDO","122.1","A/G"
"CYPX","CTAF MF","122.1","ATF"
"CYPX","QUEBEC RDO","126.7","RCO"
"CYPY","ATF","123.2","ATF"
"CYPY","EDMONTON RDO","123.45","RCO"
"CYPZ","BURNS LAKE TRAFFIC, 5NM BELOW 5400ASL","122.7","ATF"
"CYPZ","LIMITED WEATHER INFORMATION SYSTEM","122.95","LWIS"
"CYPZ","PACIFIC RADIO (FISE)","123.375","RCO"
"CYPZ","VANCOUVER CONTROL","123.875","PAL"
"CYPZ","VANCOUVER CONTROL","132.525","PAL"
"CYQA","LONDON RDO","123.475","RCO"
"CYQA","TIMMINS RADIO","122.3","MF"
"CYQB","ATIS ENGLISH","134.6","ATIS"
"CYQB","ATIS FRENCH","128.3","ATIS"
"CYQB","GND","121.9","GND"
"CYQB","MONTREAL CNTR","135.025","CNTR"
"CYQB","RDO","123.55","RDO"
"CYQB","TRML CON","124","A/D"
"CYQB","TWR","118.65","TWR"
"CYQD","MF WINNIPEG RDO","122.2","A/G"
"CYQD","WINNIPEG CNTR","135.625","CNTR"
"CYQD","WINNIPEG RDO","122.2","RCO"
"CYQF","ATIS","124","ATIS"
"CYQF","EDMONTON CNTR","132.85","CNTR"
"CYQF","EDMONTON RDO","122.5","RCO"
"CYQF","MF RED DEER RDO","118.5","A/G"
"CYQF","RDO","118.5","FSS"
"CYQG","ATIS","134.5","ATIS"
"CYQG","DETROIT  APP/DEP","126.85","A/D"
"CYQG","GND","121.7","GND"
"CYQG","LONDON RDO","126.7","RDO"
"CYQG","MF","124.7","A/G"
"CYQG","TWR","124.7","TWR"
"CYQG","VFR ADVSY","134.3","AAS"
"CYQH","ARPT RDO","122.1","RDO"
"CYQH","MANDATORY FREQ","122.1","ATF"
"CYQH","WHITEHORSE RDO","126.7","RCO"
"CYQI","MF","123","A/G"
"CYQI","MONCTON CNTR","123.9","CNTR"
"CYQK","MF","122.2","RDO"
"CYQK","RDO","122.2","FSS"
"CYQK","VHF/DF","122.2","VDF"
"CYQK","WINNIPEG CNTR","124","CNTR"
"CYQK","WINNIPEG RDO","126.7","RCO"
"CYQL","ATIS","124.4","ATIS"
"CYQL","EDMONTON CNTR","132.75","CNTR"
"CYQL","EDMONTON RDO","122.5","RCO"
"CYQL","MF","121","A/G"
"CYQL","RDO","121","RDO"
"CYQM","APN ADVSY","122.075","INFO"
"CYQM","APP/DEP","124.4","A/D"
"CYQM","ATIS","128.65","ATIS"
